abbr,population,country,label
AFG,004,4,Afghanistan
ALB,008,8,Albania
DZA,012,12,Algeria
AGO,024,24,Angola
AZE,031,31,Azerbaijan
ARG,032,32,Argentina
AUS,036,36,Australia
AUT,040,40,Austria
BHS,044,44,Bahamas
BHR,048,48,Bahrain
BGD,050,50,Bangladesh
ARM,051,51,Armenia
BRB,052,52,Barbados
BEL,056,56,Belgium
BTN,064,64,Bhutan
BOL,068,68,Bolivia
BIH,070,70,Bosnia Herzegovina
BWA,072,72,Botswana
BRA,076,76,Brazil
BLZ,084,84,Belize
SLB,090,90,Solomon Islands
BRN,096,96,Brunei Darussalam
BGR,100,100,Bulgaria
MMR,104,104,Myanmar
BDI,108,108,Burundi
BLR,112,112,Belarus
KHM,116,116,Cambodia
CMR,120,120,Cameroon
CAN,124,124,Canada
CPV,132,132,Cape Verde
CAF,140,140,Central African Republic
LKA,144,144,Sri Lanka
TCD,148,148,Chad
CHL,152,152,Chile
CHN,156,160,China
COL,170,170,Colombia
COM,174,174,Comoros
COG,178,178,"Congo, Republic of"
COD,180,180,"Congo, Democratic People Republic of"
CRI,188,188,Costa Rica
HRV,191,191,Croatia
CUB,192,192,Cuba
CYP,196,196,Cyprus
CZE,203,203,Czechia
BEN,204,204,Benin
DNK,208,208,Denmark
DOM,214,214,Dominican Republic
ECU,218,218,Ecuador
SLV,222,222,El Salvador
GNQ,226,226,Equatorial Guinea
ETH,231,231,Ethiopia
ERI,232,232,Eritrea
EST,233,233,Estonia
FJI,242,242,Fiji
FIN,246,246,Finland
FRA,250,250,France (metropolitan)
GUF,254,254,French Guyana
PYF,258,258,French Polynesia
DJI,262,262,Djibouti
GAB,266,266,Gabon
GEO,268,268,Georgia
GMB,270,270,The Republic of the Gambia
PSE,275,275,Gaza Strip and West Bank
DEU,276,276,Germany
GHA,288,288,Ghana
GRC,300,300,Greece
GLP,312,312,"France, Guadeloupe"
GUM,316,316,Guam
GTM,320,320,Guatemala
GIN,324,324,Guinea
