Population,Region,Continent
Afghanistan ,Asia,South Central Asia
Albania ,Europe,Southern Europe
Algeria ,Africa,Northern Africa
Angola ,Africa,Middle Africa
Azerbaijan ,Asia,Western Asia
Argentina ,Latin America and the Caribbean,South America
Australia ,Oceania,Australia/New Zealand
Austria ,Europe,Western Europe
Bahamas ,Latin America and the Caribbean,Caribbean
Bahrain ,Asia,Western Asia
Bangladesh ,Asia,South Central Asia
Armenia ,Asia,Western Asia
Barbados ,Latin America and the Caribbean,Caribbean
Belgium ,Europe,Western Europe
Bhutan ,Asia,South Central Asia
Bolivia ,Latin America and the Caribbean,South America
Bosnia Herzegovina ,Europe,Southern Europe
Botswana ,Africa,Southern Africa
Brazil ,Latin America and the Caribbean,South America
Belize ,Latin America and the Caribbean,Central America
Solomon Islands ,Oceania,Melanesia
Brunei Darussalam ,Asia,South-Eastern Asia
Bulgaria ,Europe,Eastern Europe
Myanmar ,Asia,South-Eastern Asia
Burundi ,Africa,Eastern Africa
Belarus ,Europe,Eastern Europe
Cambodia ,Asia,South-Eastern Asia
Cameroon ,Africa,Middle Africa
Canada ,Northern America,Northern America
Cape Verde ,Africa,Western Africa
Central African Republic ,Africa,Middle Africa
Sri Lanka ,Asia,South Central Asia
Chad ,Africa,Middle Africa
Chile ,Latin America and the Caribbean,South America
China ,Asia,Eastern Asia
Colombia ,Latin America and the Caribbean,South America
Comoros ,Africa,Eastern Africa
"Congo, Republic of ",Africa,Middle Africa
"Congo, Democratic People Republic of ",Africa,Middle Africa
Costa Rica ,Latin America and the Caribbean,Central America
Croatia ,Europe,Southern Europe
Cuba ,Latin America and the Caribbean,Caribbean
Cyprus ,Europe,Southern Europe
Czechia ,Europe,Eastern Europe
Benin ,Africa,Western Africa
Denmark ,Europe,Northern Europe
Dominican Republic ,Latin America and the Caribbean,Caribbean
Ecuador ,Latin America and the Caribbean,South America
El Salvador ,Latin America and the Caribbean,Central America
Equatorial Guinea ,Africa,Middle Africa
Ethiopia ,Africa,Eastern Africa
