id,population_iso_un,population_gco,country,abbr
1,4,4,Afghanistan,AFG
2,8,8,Albania,ALB
3,12,12,Algeria,DZA
4,24,24,Angola,AGO
5,31,31,Azerbaijan,AZE
6,32,32,Argentina,ARG
7,36,36,Australia,AUS
8,40,40,Austria,AUT
9,44,44,Bahamas,BHS
10,48,48,Bahrain,BHR
11,50,50,Bangladesh,BGD
12,51,51,Armenia,ARM
13,52,52,Barbados,BRB
14,56,56,Belgium,BEL
15,64,64,Bhutan,BTN
16,68,68,Bolivia,BOL
17,70,70,Bosnia Herzegovina,BIH
18,72,72,Botswana,BWA
19,76,76,Brazil,BRA
20,84,84,Belize,BLZ
21,90,90,Solomon Islands,SLB
22,96,96,Brunei Darussalam,BRN
23,100,100,Bulgaria,BGR
24,104,104,Myanmar,MMR
25,108,108,Burundi,BDI
26,112,112,Belarus,BLR
27,116,116,Cambodia,KHM
28,120,120,Cameroon,CMR
29,124,124,Canada,CAN
30,132,132,Cape Verde,CPV
31,140,140,Central African Republic,CAF
32,144,144,Sri Lanka,LKA
33,148,148,Chad,TCD
34,152,152,Chile,CHL
35,156,160,China,CHN
36,170,170,Colombia,COL
37,174,174,Comoros,COM
38,178,178,"Congo, Republic of",COG
39,180,180,"Congo, Democratic People Republic of",COD
40,188,188,Costa Rica,CRI
41,191,191,Croatia,HRV
42,192,192,Cuba,CUB
43,196,196,Cyprus,CYP
44,203,203,Czechia,CZE
45,204,204,Benin,BEN
46,208,208,Denmark,DNK
47,214,214,Dominican Republic,DOM
48,218,218,Ecuador,ECU
49,222,222,El Salvador,SLV
50,226,226,Equatorial Guinea,GNQ
51,231,231,Ethiopia,ETH
52,232,232,Eritrea,ERI
53,233,233,Estonia,EST
54,242,242,Fiji,FJI
55,246,246,Finland,FIN
56,250,250,France (metropolitan),FRA
57,254,254,French Guyana,GUF
58,258,258,French Polynesia,PYF
59,262,262,Djibouti,DJI
60,266,266,Gabon,GAB
61,268,268,Georgia,GEO
62,270,270,The Republic of the Gambia,GMB
63,275,275,Gaza Strip and West Bank,PSE
64,276,276,Germany,DEU
65,288,288,Ghana,GHA
66,300,300,Greece,GRC
67,312,312,"France, Guadeloupe",GLP
68,316,316,Guam,GUM
69,320,320,Guatemala,GTM
70,324,324,Guinea,GIN
71,328,328,Guyana,GUY
72,332,332,Haiti,HTI
73,340,340,Honduras,HND
74,348,348,Hungary,HUN
75,352,352,Iceland,ISL
76,356,356,India,IND
77,360,360,Indonesia,IDN
78,364,364,"Iran, Islamic Republic of",IRN
79,368,368,Iraq,IRQ
80,372,372,Ireland,IRL
81,376,376,Israel,ISR
82,380,380,Italy,ITA
83,384,384,Côte d'Ivoire,CIV
84,388,388,Jamaica,JAM
85,392,392,Japan,JPN
86,398,398,Kazakhstan,KAZ
87,400,400,Jordan,JOR
88,404,404,Kenya,KEN
89,408,408,"Korea, Democratic People Republic of",PRK
90,410,410,"Korea, Republic of",KOR
91,414,414,Kuwait,KWT
92,417,417,Kyrgyzstan,KGZ
93,418,418,Lao People's Democratic Republic,LAO
94,422,422,Lebanon,LBN
95,426,426,Lesotho,LSO
96,428,428,Latvia,LVA
97,430,430,Liberia,LBR
