morp,morp-description,behaviour,o3site,icd10,Comments
8000/1,"Neoplasm, uncertain whether benign or malignant",Borderline,Specific Sites,See Topo Table B Col F,
8000/2,"Neoplasm, in situ",In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8000/3,"Neoplasm, malignant",Malignant,Specific Sites,See Topo Table B Col B,
8000/6,"Neoplasm, metastatic",Metastatic,Specific Sites,See Topo Table B Col C,Not a code used in the registry
8000/9,"Neoplasm, malignant, uncertain whether primary or metastatic (C809)",Unknown,C809,C80,Not a code used in the registry
8001/1,"Tumor cells, uncertain whether benign or malignant",Borderline,Specific Sites,See Topo Table B Col F,
8001/3,"Tumor cells, malignant",Malignant,Specific Sites,See Topo Table B Col B,
8002/3,"Malignant tumor, small cell type",Malignant,Specific Sites,See Topo Table B Col B,
8003/3,"Malignant tumor, giant cell type",Malignant,Specific Sites,See Topo Table B Col B,
8004/3,"Malignant tumor, spindle cell type",Malignant,Specific Sites,See Topo Table B Col B,
8005/3,"Malignant tumor, clear cell type",Malignant,Specific Sites,See Topo Table B Col B,
8010/2,"Carcinoma in situ, NOS",In-Situ,Specific Sites,See Topo Table B Col D,
8010/3,"Carcinoma, NOS",Malignant,Specific Sites,See Topo Table B Col B,
8010/6,"Carcinoma, metastatic, NOS",Metastatic,Specific Sites,See Topo Table B Col C,Not a code used in the registry
8010/9,Carcinomatosis (C809),Unknown,C809,C80,Not a code used in the registry
8011/3,"Epithelioma, malignant",Malignant,Specific Sites,See Topo Table B Col B,
8012/2,"Large cell carcinoma, in situ",In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8012/3,"Large cell carcinoma, NOS",Malignant,Specific Sites,See Topo Table B Col B,
8013/3,Large cell neuroendocrine carcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8014/3,Large cell carcinoma with rhabdoid phenotype,Malignant,Specific Sites,See Topo Table B Col B,
8015/3,Glassy cell carcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8020/2,"Carcinoma, undifferentiated, NOS, in situ",In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8020/3,"Carcinoma, undifferentiated, NOS",Malignant,Specific Sites,See Topo Table B Col B,
8021/3,"Carcinoma, anaplastic, NOS",Malignant,Specific Sites,See Topo Table B Col B,
8022/2,Pleomorphic carcinoma in situ,In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8022/3,Pleomorphic carcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8023/3,Nuclear protein in testis (NUT) associated carcinoma (ICD-O-3.2 update),Malignant,Specific Sites,See Topo Table B Col B,
8030/2,Spindle cell carcinoma in situ,In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8030/3,Giant cell and spindle cell carcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8031/3,Giant cell carcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8032/2,Spindle cell carcinoma in situ,In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8032/3,"Spindle cell carcinoma, NOS",Malignant,Specific Sites,See Topo Table B Col B,
8033/2,"Pseudosarcomatous carcinoma, in situ",In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8033/3,Pseudosarcomatous carcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8034/3,Polygonal cell carcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8035/3,Carcinoma with osteoclast-like giant cells,Malignant,Specific Sites,See Topo Table B Col B,
8040/1,"Tumorlet, NOS",Borderline,Specific Sites,See Topo Table B Col F,
8040/3,"Tumorlet, malignant",Malignant,Specific Sites,See Topo Table B Col B,Not listed in ICD-O-3.2
8041/2,"Small cell carcinoma, in situ",In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8041/3,"Small cell carcinoma, NOS",Malignant,Specific Sites,See Topo Table B Col B,
8042/3,Oat cell carcinoma  (C34_),Malignant,"C349, All Other Sites","C34.9, See Topo Table B Col B",
8043/3,"Small cell carcinoma, fusiform cell (C34_)",Malignant,"C349, All Other Sites","C34.9, See Topo Table B Col B",
8044/3,"Small cell carcinoma, intermediate cell (C34_)",Malignant,"C349, All Other Sites","C34.9, See Topo Table B Col B",
8045/2,"Combined small cell carcinoma, in situ (C34_)",In-Situ,"C349, All Other Sites","D02.2, See Topo Table B Col D",Not listed in ICD-O-3.2
8045/3,Combined small cell carcinoma (C34_),Malignant,"C349, All Other Sites","C34.9, See Topo Table B Col B",
8046/2,Non-small cell carcinoma in situ  (C34_),In-Situ,"C349, All Other Sites","D02.2, See Topo Table B Col D",Not listed in ICD-O-3.2
8046/3,Non-small cell carcinoma  (C34_),Malignant,"C349, All Other Sites","C34.9, See Topo Table B Col B",
8050/1,Papilloma of uncertain malignant potential,Borderline,Specific Sites,See Topo Table B Col F,Not listed in ICD-O-3.2
8050/2,Papillary carcinoma in situ,In-Situ,Specific Sites,See Topo Table B Col D,
8050/3,"Papillary carcinoma, NOS",Malignant,Specific Sites,See Topo Table B Col B,
8051/2,Verrucous carcinoma in situ,In-Situ,Specific sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8051/3,"Verrucous carcinoma, NOS",Malignant,Specific Sites,See Topo Table B Col B,
8052/2,"Papillary squamous cell carcinoma, non-invasive",In-Situ,Specific sites,See Topo Table B Col D,
8052/3,Papillary squamous cell carcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8053/2,"Squamous cell papilloma, inverted, in situ",In-Situ,Specific sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8053/3,"Squamous cell papilloma, inverted, malignant",Malignant,Specific Sites,See Topo Table B Col B,Not listed in ICD-O-3.2
8054/3,Warty carcinoma (ICD-O-3.2 update),Malignant,Specific Sites,See Topo Table B Col B,
8060/3,"Papillomatosis, NOS, malignant",Malignant,Specific Sites,See Topo Table B Col B,Not listed in ICD-O-3.2
8070/2,"Squamous cell carcinoma in situ, NOS",In-Situ,Specific Sites,See Topo Table B Col D,
8070/3,"Squamous cell carcinoma, NOS",Malignant,Specific Sites,See Topo Table B Col B,
8070/6,"Squamous cell carcinoma, metastatic, NOS",Metastatic,Specific Sites,See Topo Table B Col C,Not a code used in the registry
8071/2,Differentiated intraepithelial neoplasia,In-Situ,Specific Sites,See Topo Table B Col D,
8071/3,"Squamous cell carcinoma, keratinizing, NOS",Malignant,Specific Sites,See Topo Table B Col B,
8072/2,"Squamous cell carcinoma, large cell, nonkeratinizing, in situ",In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8072/3,"Squamous cell carcinoma, large cell, nonkeratinizing, NOS",Malignant,Specific Sites,See Topo Table B Col B,
8073/2,"Squamous cell carcinoma, small cell, nonkeratinizing, in situ",In-Situ,Specific Sites,See Topo Table B Col D,
8073/3,"Squamous cell carcinoma, small cell, nonkeratinizing",Malignant,Specific Sites,See Topo Table B Col B,
8074/3,"Squamous cell carcinoma, spindle cell",Malignant,Specific Sites,See Topo Table B Col B,
8075/2,"Squamous cell carcinoma, adenoid, in situ",In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8075/3,"Squamous cell carcinoma, adenoid",Malignant,Specific Sites,See Topo Table B Col B,
8076/2,Squamous cell CIS with questionable stromal invasion (C53_),In-Situ,"C539, All Other Sites","D06.9, See Topo Table B Col D",
8076/3,"Squamous cell carcinoma, micro-invasive",Malignant,Specific Sites,See Topo Table B Col B,
8077/2,"Squamous intraepithelial neoplasia, high grade",In-Situ,Specific sites,See Topo Table B Col D,
8078/3,Squamous cell carcinoma with horn formation,Malignant,Specific Sites,See Topo Table B Col B,
8080/2,Queyrat erythroplasia (C60_),In-Situ,"C609, All Other Sites","D07.4, See Topo Table B Col D",
8080/3,"Queyrat erythroplasia, malignant (C60_)",Malignant,"C609, All Other Sites","C60.9, See Topo Table B Col B",Not listed in ICD-O-3.2
8081/2,Bowen disease (C44_),In-Situ,"C449, All Other Sites","D04.9, See Topo Table B Col D",
8081/3,"Bowen's disease, malignant (C44_)",Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",Not listed in ICD-O-3.2
8082/3,Lymphoepithelial carcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8083/2,Basaloid squamous cell carcinoma in situ,In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8083/3,Basaloid squamous cell carcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8084/3,"Squamous cell carcinoma, clear cell type",Malignant,Specific Sites,See Topo Table B Col B,
8085/3,"Squamous cell carcinoma, HPV-positive (ICD-O-3.2 update)",Malignant,Specific Sites,See Topo Table B Col B,
8086/3,"Squamous cell carcinoma, HPV-negative (ICD-O-3.2 update)",Malignant,Specific Sites,See Topo Table B Col B,
8090/1,Basal cell tumor (C44_),Borderline,"C449, All Other Sites","D48.5, See Topo Table B Col F",
8090/2,Basal cell carcinoma in situ (C44_),In-Situ,"C449, All Other Sites","D04.9, See Topo Table B Col D",Not listed in ICD-O-3.2
8090/3,"Basal cell carcinoma, NOS (C44_)",Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8091/2,"Multicentric basal cell carcinoma, in situ (C44_)",In-Situ,"C449, All Other Sites","D04.9, See Topo Table B Col D",Not listed in ICD-O-3.2
8091/3,Superficial basal cell carcinoma (C44_),Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8092/3,"Infiltrating basal cell carcinoma, NOS (C44_)",Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8093/3,"Basal cell carcinoma, fibroepithelial (C44_)",Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8094/2,Basosquamous carcinoma in situ (C44),In-Situ,"C449, All Other Sites","D04.9, See Topo Table B Col D",Not listed in ICD-O-3.2
8094/3,Basosquamous carcinoma (C44_),Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8095/3,Metatypical carcinoma (C44_),Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8097/3,"Basal cell carcinoma, nodular (C44_)",Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8098/3,Adenoid basal cell carcinoma (C53_),Malignant,"C539, All Other Sites","C539, See Topo Table B Col B",
8100/3,Trichoblastic carcinoma (ICD-O-3.2 update) (C44_),Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8102/3,Trichilemmocarcinoma (C44_),Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8103/1,Proliferating trichilemmal cyst (C44_) (ICD-O-3.2 update),Borderline,"C449, All Other Sites","D48.5, See Topo Table B Col F",
8103/3,"Pilar tumor, malignant (C44_)",Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",Not listed in ICD-O-3.2
8110/3,Pilomatrical carcinoma (C44_),Malignant,"C449, All Other Sites","C44.9, See Topo Table B Col B",
8120/1,"Urothelial papilloma, NOS (C67_) (ICD-O-3.2 update, see code 8210/0)",Borderline,"C679, All Other Sites","D41.4, See Topo Table B Col F",
8120/2,Urothelial carcinoma in situ (C67_),In-Situ,"C679, All Other Sites","D09.0, See Topo Table B Col D",
