morp,morp_desen,behaviour,o3site,icd10,comments
8000/1/1,"Neoplasm, uncertain whether benign or malignant",Borderline,Specific Sites,See Topo Table B Col F,
8000/2/1,"Neoplasm, in situ",In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8000/3/1,"Neoplasm, malignant",Malignant,Specific Sites,See Topo Table B Col B,
8000/6/1,"Neoplasm, metastatic",Metastatic,Specific Sites,See Topo Table B Col C,Not a code used in the registry
8000/9/1,"Neoplasm, malignant, uncertain whether primary or metastatic (C809)",Unknown,C809,C80,Not a code used in the registry
8001/1/1,"Tumor cells, uncertain whether benign or malignant",Borderline,Specific Sites,See Topo Table B Col F,
8001/3/1,"Tumor cells, malignant",Malignant,Specific Sites,See Topo Table B Col B,
8002/3/1,"Malignant tumor, small cell type",Malignant,Specific Sites,See Topo Table B Col B,
8003/3/1,"Malignant tumor, giant cell type",Malignant,Specific Sites,See Topo Table B Col B,
8004/3/1,"Malignant tumor, spindle cell type",Malignant,Specific Sites,See Topo Table B Col B,
8005/3/1,"Malignant tumor, clear cell type",Malignant,Specific Sites,See Topo Table B Col B,
8010/2/1,"Carcinoma in situ, NOS",In-Situ,Specific Sites,See Topo Table B Col D,
8010/3/1,"Carcinoma, NOS",Malignant,Specific Sites,See Topo Table B Col B,
8010/6/1,"Carcinoma, metastatic, NOS",Metastatic,Specific Sites,See Topo Table B Col C,Not a code used in the registry
8010/9/1,Carcinomatosis (C809),Unknown,C809,C80,Not a code used in the registry
8011/3/1,"Epithelioma, malignant",Malignant,Specific Sites,See Topo Table B Col B,
8012/2/1,"Large cell carcinoma, in situ",In-Situ,Specific Sites,See Topo Table B Col D,Not listed in ICD-O-3.2
8012/3/1,"Large cell carcinoma, NOS",Malignant,Specific Sites,See Topo Table B Col B,
8013/3/1,Large cell neuroendocrine carcinoma,Malignant,Specific Sites,See Topo Table B Col B,
8014/3/1,Large cell carcinoma with rhabdoid phenotype,Malignant,Specific Sites,See Topo Table B Col B,
8015/3/1,Glassy cell carcinoma,Malignant,Specific Sites,See Topo Table B Col B,
