mark,morp,morp_descn,convert_morp
1,M800,肿瘤NOS,
0,M8000/0,肿瘤/未分类肿瘤，良性,
0,M8000/1,肿瘤/未分类肿瘤，良性或恶性未肯定/交界恶性/NOS,
0,M8000/3,癌症/肿瘤/未分类肿瘤，恶性NOS；母细胞瘤NOS,
0,M8000/6,肿瘤，转移性/继发性；（肿）瘤栓（子）,
0,M8000/9,（未分类）肿瘤，恶性，原发性或转移性/继发性未肯定,
0,M8001/0,肿瘤细胞，良性,
0,M8001/1,肿瘤细胞，良性或恶性未肯定/NOS,
0,M8001/3,肿瘤细胞，恶性,
0,M8002/3,恶性肿瘤，小细胞型,
0,M8003/3,恶性肿瘤，巨细胞型,
0,M8004/3,恶性肿瘤，梭形细胞型,
0,M8005/0,透明细胞瘤NOS,
0,M8005/3,恶性肿瘤，透明细胞型,
0,M8010/0,上皮肿瘤，良性,
0,M8010/2,原位癌/上皮内癌NOS,
0,M8010/3,癌NOS/上皮肿瘤，恶性,
0,M8010/6,癌，转移性NOS/继发性癌,
0,M8010/9,癌病，癌扩散,
0,M8011/0,上皮瘤，良性,
0,M8011/3,上皮瘤，恶性/NOS,
0,M8012/3,大细胞癌NOS,
0,M8013/3,（混合性）大细胞神经内分泌癌,
0,M8014/3,大细胞癌，伴有横纹肌样表型,
0,M8015/3,玻璃状细胞癌,
1,M801-804,上皮肿瘤NOS,
0,M8020/3,癌，未分化/分化差NOS；间变性未分化癌；去分化癌,
0,M8021/3,癌，间变的NOS,
0,M8022/3,多形性癌,
2,M8023/3,睾丸核蛋白(NUT)相关癌/NUT癌/NUT中线癌,
0,M8030/3,巨细胞和梭形细胞癌,
0,M8031/3,巨细胞癌,
0,M8032/3,梭形细胞癌NOS,
0,M8033/3,（假）肉瘤样癌,
0,M8034/3,多角细胞癌；多边形细胞癌,
0,M8035/3,"破骨细胞样巨细胞（未分化）癌
鳞状细胞癌，伴有破骨细胞样巨细胞",
0,M8040/0,微小（岛）瘤，良性；弥漫性特发性神经内分泌细胞增生,
0,M8040/1,微小（岛）瘤NOS,
0,M8041/3,"小细胞癌NOS；储备细胞癌；补充细胞癌
圆形细胞癌；小细胞神经内分泌癌；肺小细胞癌",
0,M8042/3,燕麦细胞癌C34.-,
0,M8043/3,小细胞癌，梭形细胞型,
0,M8044/3,小细胞癌，中间细胞型；小细胞癌，高钙血症型C56.9,
0,M8045/3,混合性小细胞癌；混合性小细胞（-大细胞）/腺/鳞状细胞癌,
0,M8046/3,非小细胞癌C34.-,
0,M8050/0,乳头状瘤NOS（除外膀胱乳头状瘤8120/1）,
0,M8050/2,乳头状原位癌,
0,M8050/3,乳头状癌NOS,
0,M8051/0,疣状乳头状瘤,
0,M8051/3,疣状（鳞状细胞/表皮样）癌/湿疣癌；瓦尔蒂(Watry)癌,
0,M8052/0,"鳞状（细胞）乳头状瘤NOS；角化性乳头状瘤
良性角化病NOS（另见8070/0）；日光性雀斑
脂溢性/扁平苔藓样角化病",
0,M8052/2,乳头状鳞状细胞癌，非侵袭性/原位癌,
0,M8052/3,乳头状鳞状细胞癌；乳头状表皮样癌,
0,M8053/0,鳞状细胞乳头状瘤，内翻性，倒生性,
2,M8054/0,疣状角化瘤,
2,M8054/3,疣状癌；尖锐湿疣癌；疣状基底细胞癌,
1,M805-808,鳞状细胞肿瘤,
0,M8060/0,（鳞状）乳头状瘤病；多发性乳头状瘤NOS,
2,M8070/0,光化性角化病；角化性角化病；汗腺(PUVA)角化病,
0,M8070/2,"鳞状细胞原位癌；上皮内鳞状细胞癌NOS
表皮样原位癌；表皮内癌NOS",
