topo,b3,b6,b2,b0,b1,b11,m3,m2,mes3,kap3
C00.0,C00.0,C79.8,D00.0,D10.0,D37.0,D37.0,C43.0,D03.0,C45.7,C46.0
C00.1,C00.1,C79.8,D00.0,D10.0,D37.0,D37.0,C43.0,D03.0,C45.7,C46.0
C00.2,C00.2,C79.8,D00.0,D10.0,D37.0,D37.0,C43.0,D03.0,C45.7,C46.0
C00.3,C00.3,C79.8,D00.0,D10.0,D37.0,D37.0,C43.0,D03.0,C45.7,C46.0
C00.4,C00.4,C79.8,D00.0,D10.0,D37.0,D37.0,C43.0,D03.0,C45.7,C46.0
C00.5,C00.5,C79.8,D00.0,D10.0,D37.0,D37.0,C43.0,D03.0,C45.7,C46.0
C00.6,C00.6,C79.8,D00.0,D10.0,D37.0,D37.0,C43.0,D03.0,C45.7,C46.0
C00.8,C00.8,C79.8,D00.0,D10.0,D37.0,D37.0,C43.0,D03.0,C45.7,C46.0
C00.9,C00.9,C79.8,D00.0,D10.0,D37.0,D37.0,C43.0,D03.0,C45.7,C46.0
C01.9,C01,C79.8,D00.0,D10.1,D37.0,D37.0,C01,D00.0,C45.7,C46.7
C02.0,C02.0,C79.8,D00.0,D10.1,D37.0,D37.0,C02.0,D00.0,C45.7,C46.7
C02.1,C02.1,C79.8,D00.0,D10.1,D37.0,D37.0,C02.1,D00.0,C45.7,C46.7
C02.2,C02.2,C79.8,D00.0,D10.1,D37.0,D37.0,C02.2,D00.0,C45.7,C46.7
C02.3,C02.3,C79.8,D00.0,D10.1,D37.0,D37.0,C02.3,D00.0,C45.7,C46.7
C02.4,C02.4,C79.8,D00.0,D10.1,D37.0,D37.0,C02.4,D00.0,C45.7,C46.7
C02.8,C02.8,C79.8,D00.0,D10.1,D37.0,D37.0,C02.8,D00.0,C45.7,C46.7
C02.9,C02.9,C79.8,D00.0,D10.1,D37.0,D37.0,C02.9,D00.0,C45.7,C46.7
C03.0,C03.0,C79.8,D00.0,D10.3,D37.0,D37.0,C03.0,D00.0,C45.7,C46.7
C03.1,C03.1,C79.8,D00.0,D10.3,D37.0,D37.0,C03.1,D00.0,C45.7,C46.7
C03.9,C03.9,C79.8,D00.0,D10.3,D37.0,D37.0,C03.9,D00.0,C45.7,C46.7
C04.0,C04.0,C79.8,D00.0,D10.2,D37.0,D37.0,C04.0,D00.0,C45.7,C46.7
C04.1,C04.1,C79.8,D00.0,D10.2,D37.0,D37.0,C04.1,D00.0,C45.7,C46.7
C04.8,C04.8,C79.8,D00.0,D10.2,D37.0,D37.0,C04.8,D00.0,C45.7,C46.7
C04.9,C04.9,C79.8,D00.0,D10.2,D37.0,D37.0,C04.9,D00.0,C45.7,C46.7
C05.0,C05.0,C79.8,D00.0,D10.3,D37.0,D37.0,C05.0,D00.0,C45.7,C46.2
C05.1,C05.1,C79.8,D00.0,D10.3,D37.0,D37.0,C05.1,D00.0,C45.7,C46.2
C05.2,C05.2,C79.8,D00.0,D10.3,D37.0,D37.0,C05.2,D00.0,C45.7,C46.2
C05.8,C05.8,C79.8,D00.0,D10.3,D37.0,D37.0,C05.8,D00.0,C45.7,C46.2
C05.9,C05.9,C79.8,D00.0,D10.3,D37.0,D37.0,C05.9,D00.0,C45.7,C46.2
C06.0,C06.0,C79.8,D00.0,D10.3,D37.0,D37.0,C06.0,D00.0,C45.7,C46.7
C06.1,C06.1,C79.8,D00.0,D10.3,D37.0,D37.0,C06.1,D00.0,C45.7,C46.7
C06.2,C06.2,C79.8,D00.0,D10.3,D37.0,D37.0,C06.2,D00.0,C45.7,C46.7
C06.8,C06.8,C79.8,D00.0,D10.3,D37.0,D37.0,C06.8,D00.0,C45.7,C46.7
C06.9,C06.9,C79.8,D00.0,D10.3,D37.0,D37.0,C06.9,D00.0,C45.7,C46.7
C07.9,C07,C79.8,D00.0,D11.0,D37.0,D37.0,C07,D00.0,C45.7,C46.7
C08.0,C08.0,C79.8,D00.0,D11.7,D37.0,D37.0,C08.0,D00.0,C45.7,C46.7
C08.1,C08.1,C79.8,D00.0,D11.7,D37.0,D37.0,C08.1,D00.0,C45.7,C46.7
C08.8,C08.8,C79.8,D00.0,D11.9,D37.0,D37.0,C08.8,D00.0,C45.7,C46.7
C08.9,C08.9,C79.8,D00.0,D11.9,D37.0,D37.0,C08.9,D00.0,C45.7,C46.7
C09.0,C09.0,C79.8,D00.0,D10.5,D37.0,D37.0,C09.0,D00.0,C45.7,C46.7
C09.1,C09.1,C79.8,D00.0,D10.5,D37.0,D37.0,C09.1,D00.0,C45.7,C46.7
C09.8,C09.8,C79.8,D00.0,D10.4,D37.0,D37.0,C09.8,D00.0,C45.7,C46.7
C09.9,C09.9,C79.8,D00.0,D10.4,D37.0,D37.0,C09.9,D00.0,C45.7,C46.7
C10.0,C10.0,C79.8,D00.0,D10.5,D37.0,D37.0,C10.0,D00.0,C45.7,C46.7
C10.1,C10.1,C79.8,D00.0,D10.5,D37.0,D37.0,C10.1,D00.0,C45.7,C46.7
C10.2,C10.2,C79.8,D00.0,D10.5,D37.0,D37.0,C10.2,D00.0,C45.7,C46.7
C10.3,C10.3,C79.8,D00.0,D10.5,D37.0,D37.0,C10.3,D00.0,C45.7,C46.7
C10.4,C10.4,C79.8,D00.0,D10.5,D37.0,D37.0,C10.4,D00.0,C45.7,C46.7
C10.8,C10.8,C79.8,D00.0,D10.5,D37.0,D37.0,C10.8,D00.0,C45.7,C46.7
C10.9,C10.9,C79.8,D00.0,D10.5,D37.0,D37.0,C10.9,D00.0,C45.7,C46.7
C11.0,C11.0,C79.8,D00.0,D10.6,D37.0,D37.0,C11.0,D00.0,C45.7,C46.7
C11.1,C11.1,C79.8,D00.0,D10.6,D37.0,D37.0,C11.1,D00.0,C45.7,C46.7
C11.2,C11.2,C79.8,D00.0,D10.6,D37.0,D37.0,C11.2,D00.0,C45.7,C46.7
C11.3,C11.3,C79.8,D00.0,D10.6,D37.0,D37.0,C11.3,D00.0,C45.7,C46.7
C11.8,C11.8,C79.8,D00.0,D10.6,D37.0,D37.0,C11.8,D00.0,C45.7,C46.7
C11.9,C11.9,C79.8,D00.0,D10.6,D37.0,D37.0,C11.9,D00.0,C45.7,C46.7
C12.9,C12,C79.8,D00.0,D10.7,D37.0,D37.0,C12,D00.0,C45.7,C46.7
